,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_epochs,param_lr,param_num_layers,param_optimizer_name,param_units,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
53,38.85720396,0.345050081,1.245033344,0.089022976,relu,30,0.001,1,sgd,64,"{'activation': 'relu', 'epochs': 30, 'lr': 0.001, 'num_layers': 1, 'optimizer_name': 'sgd', 'units': 64}",0.698732197,0.710730731,0.703598022,0.70435365,0.004927436,79
54,43.16327397,2.018621929,1.852625211,0.208204584,relu,30,0.001,1,sgd,128,"{'activation': 'relu', 'epochs': 30, 'lr': 0.001, 'num_layers': 1, 'optimizer_name': 'sgd', 'units': 128}",0.712044358,0.722301483,0.712474227,0.715606689,0.004737186,72
55,49.64487473,0.150493215,2.753367583,1.375170631,relu,30,0.001,1,sgd,256,"{'activation': 'relu', 'epochs': 30, 'lr': 0.001, 'num_layers': 1, 'optimizer_name': 'sgd', 'units': 256}",0.715055466,0.723728001,0.721033454,0.719938974,0.003624144,69
50,50.35124,0.165067392,1.390849431,0.131649713,relu,30,0.001,1,adam,128,"{'activation': 'relu', 'epochs': 30, 'lr': 0.001, 'num_layers': 1, 'optimizer_name': 'adam', 'units': 128}",0.808082402,0.849896967,0.850372493,0.836117287,0.019824608,18
57,48.96977472,1.803113801,1.654462894,0.262013543,relu,30,0.001,2,adam,64,"{'activation': 'relu', 'epochs': 30, 'lr': 0.001, 'num_layers': 2, 'optimizer_name': 'adam', 'units': 64}",0.844215512,0.83896023,0.840386748,0.841187497,0.002218918,16
51,52.10608689,0.96297764,1.261181672,0.10261873,relu,30,0.001,1,adam,256,"{'activation': 'relu', 'epochs': 30, 'lr': 0.001, 'num_layers': 1, 'optimizer_name': 'adam', 'units': 256}",0.840570509,0.841971815,0.853225529,0.845255951,0.005664306,15
65,56.29543694,3.135209211,2.074189107,0.321282943,relu,30,0.001,3,adam,64,"{'activation': 'relu', 'epochs': 30, 'lr': 0.001, 'num_layers': 3, 'optimizer_name': 'adam', 'units': 64}",0.844849467,0.856554151,0.852274537,0.851226052,0.00483559,10
60,47.07414579,3.077925134,1.180558284,0.094636896,relu,30,0.001,2,sgd,32,"{'activation': 'relu', 'epochs': 30, 'lr': 0.001, 'num_layers': 2, 'optimizer_name': 'sgd', 'units': 32}",0.657369256,0.69091773,0.669678211,0.672655066,0.013856918,88
61,42.1776967,1.306969937,1.408738375,0.16148347,relu,30,0.001,2,sgd,64,"{'activation': 'relu', 'epochs': 30, 'lr': 0.001, 'num_layers': 2, 'optimizer_name': 'sgd', 'units': 64}",0.699366093,0.711364746,0.69567287,0.702134569,0.006698612,81
38,53.02613854,0.199004389,1.694358428,0.591425646,relu,30,0.0001,2,sgd,128,"{'activation': 'relu', 'epochs': 30, 'lr': 0.0001, 'num_layers': 2, 'optimizer_name': 'sgd', 'units': 128}",0.371156901,0.436677754,0.427009046,0.411614567,0.02887892,109
63,56.01218128,0.971493138,1.428229729,0.230608492,relu,30,0.001,2,sgd,256,"{'activation': 'relu', 'epochs': 30, 'lr': 0.001, 'num_layers': 2, 'optimizer_name': 'sgd', 'units': 256}",0.729318559,0.728007615,0.725154519,0.727493564,0.001738389,65
62,42.68154494,0.16839562,3.067654769,1.267266955,relu,30,0.001,2,sgd,128,"{'activation': 'relu', 'epochs': 30, 'lr': 0.001, 'num_layers': 2, 'optimizer_name': 'sgd', 'units': 128}",0.71854198,0.732604206,0.717229366,0.722791851,0.006959046,67
66,62.89436277,0.631252655,1.886163314,0.128180786,relu,30,0.001,3,adam,128,"{'activation': 'relu', 'epochs': 30, 'lr': 0.001, 'num_layers': 3, 'optimizer_name': 'adam', 'units': 128}",0.846117258,0.851164997,0.863052785,0.853445013,0.007099384,8
